category,subCategory,eventID,level,channel,provider,description,availableSettings/0,availableSettings/1,gpoSettings,documentation,volume/DomainController,volume/Server,volume/Workstation,microsoftBaseline/DomainController,microsoftBaseline/Server,microsoftBaseline/Workstation,securityMonitoringRecommandation,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5
Object Access,Audit Filtering Platform Connection,5157,Information,Security,Microsoft-Windows-Security-Auditing,The Windows Filtering Platform has blocked a connection.,Failure,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Filtering Platform Connection,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5157,High,High,High,Failure,Failure,Failure,Yes,SRV-ETM,MDE,YAMATO,,,
Object Access,Audit Filtering Platform Connection,5158,Information,Security,Microsoft-Windows-Security-Auditing,The Windows Filtering Platform has permitted a bind to a local port.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Filtering Platform Connection,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5158,High,High,High,No,No,No,Yes,SRV-ETM,YAMATO,,,,
Object Access,Audit Filtering Platform Connection,5159,Information,Security,Microsoft-Windows-Security-Auditing,The Windows Filtering Platform has blocked a bind to a local port.,Failure,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Filtering Platform Connection,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5159,High,High,High,Failure,Failure,Failure,Yes,SRV-ETM,YAMATO,,,,
Object Access,Audit Filtering Platform Packet Drop,5152,Information,Security,Microsoft-Windows-Security-Auditing,The Windows Filtering Platform blocked a packet.,Failure,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Filtering Platform Packet Drop,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5152,High,High,High,No,No,No,Yes,SRV-ETM,YAMATO,,,,
Object Access,Audit Filtering Platform Packet Drop,5153,Information,Security,Microsoft-Windows-Security-Auditing,A more restrictive Windows Filtering Platform filter has blocked a packet.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Filtering Platform Packet Drop,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5153,High,High,High,No,No,No,No,SRV-ETM,YAMATO,,,,
Object Access,Audit Handle Manipulation,4658,Information,Security,Microsoft-Windows-Security-Auditing,The handle to an object was closed.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Handle Manipulation,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4658,High,High,High,No,No,No,No,SRV-ETM,YAMATO,,,,
Object Access,Audit Handle Manipulation,4690,Information,Security,Microsoft-Windows-Security-Auditing,An attempt was made to duplicate a handle to an object.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Handle Manipulation,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4690,High,High,High,No,No,No,No,SRV-ETM,,,,,
Object Access,Audit Kernel Object,4656,Information,Security,Microsoft-Windows-Security-Auditing,A handle to an object was requested.,Success,Failure,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Kernel Object,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4656,High,High,High,No,No,No,No,SRV-ETM,YAMATO,,,,
Object Access,Audit Kernel Object,4658,Information,Security,Microsoft-Windows-Security-Auditing,The handle to an object was closed.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Kernel Object,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4658,High,High,High,No,No,No,No,SRV-ETM,YAMATO,,,,
Object Access,Audit Kernel Object,4660,Information,Security,Microsoft-Windows-Security-Auditing,An object was deleted.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Kernel Object,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4660,High,High,High,No,No,No,No,SRV-ETM,YAMATO,,,,
Object Access,Audit Kernel Object,4663,Information,Security,Microsoft-Windows-Security-Auditing,An attempt was made to access an object.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Kernel Object,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4663,High,High,High,No,No,No,No,JSCU-NL,SRV-ETM,YAMATO,,,
Object Access,Audit Other Object Access Events,4671,Information,Security,Microsoft-Windows-Security-Auditing,An application attempted to access a blocked ordinal through the TBS.,,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Other Object Access Events,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4671,Low,Low,Low,,,,No,SRV-ETM,,,,,
Object Access,Audit Other Object Access Events,4691,Information,Security,Microsoft-Windows-Security-Auditing,Indirect access to an object was requested.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Other Object Access Events,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4691,Low,Low,Low,Success,Success,Success,Yes,SRV-ETM,,,,,
Object Access,Audit Other Object Access Events,4698,Information,Security,Microsoft-Windows-Security-Auditing,A scheduled task was created.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Other Object Access Events,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4698,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,CORTEX,MDE,YAMATO,
Object Access,Audit Other Object Access Events,4699,Information,Security,Microsoft-Windows-Security-Auditing,A scheduled task was deleted.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Other Object Access Events,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4699,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,MDE,YAMATO,,
Object Access,Audit Other Object Access Events,4700,Information,Security,Microsoft-Windows-Security-Auditing,A scheduled task was enabled.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Other Object Access Events,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4700,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,YAMATO,,,
Object Access,Audit Other Object Access Events,4701,Information,Security,Microsoft-Windows-Security-Auditing,A scheduled task was disabled.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Other Object Access Events,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4701,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,YAMATO,,,
Object Access,Audit Other Object Access Events,4702,Information,Security,Microsoft-Windows-Security-Auditing,A scheduled task was updated.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Other Object Access Events,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4702,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,CORTEX,MDE,YAMATO,
Object Access,Audit Other Object Access Events,5148,Information,Security,Microsoft-Windows-Security-Auditing,The Windows Filtering Platform has detected a DoS attack and entered a defensive mode; packets associated with this attack will be discarded.,Failure,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Other Object Access Events,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5148,Low,Low,Low,Failure,Failure,Failure,Yes,YAMATO,,,,,
Object Access,Audit Other Object Access Events,5149,Information,Security,Microsoft-Windows-Security-Auditing,The DoS attack has subsided and normal processing is being resumed.,Failure,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Other Object Access Events,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5149,Low,Low,Low,Failure,Failure,Failure,Yes,YAMATO,,,,,
Object Access,Audit Other Object Access Events,5888,Information,Security,Microsoft-Windows-Security-Auditing,An object in the COM+ Catalog was modified.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Other Object Access Events,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5888,Low,Low,Low,Success,Success,Success,Yes,SRV-ETM,YAMATO,,,,
Object Access,Audit Other Object Access Events,5889,Information,Security,Microsoft-Windows-Security-Auditing,An object was deleted from the COM+ Catalog.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Other Object Access Events,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5889,Low,Low,Low,Success,Success,Success,Yes,SRV-ETM,YAMATO,,,,
Object Access,Audit Other Object Access Events,5890,Information,Security,Microsoft-Windows-Security-Auditing,An object was added to the COM+ Catalog.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Other Object Access Events,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5890,Low,Low,Low,Success,Success,Success,Yes,SRV-ETM,YAMATO,,,,
Object Access,Audit Registry,4656,Information,Security,Microsoft-Windows-Security-Auditing,A handle to an object was requested.,Success,Failure,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Registry,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4656,Low,Low,Low,No,No,No,Yes,SRV-ETM,YAMATO,,,,
Object Access,Audit Registry,4657,Information,Security,Microsoft-Windows-Security-Auditing,A registry value was modified.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Registry,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4657,Low,Low,Low,No,No,No,Yes,JSCU-NL,SRV-ETM,YAMATO,ANSSI,,
Object Access,Audit Registry,4658,Information,Security,Microsoft-Windows-Security-Auditing,The handle to an object was closed.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Registry,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4658,Low,Low,Low,No,No,No,Yes,SRV-ETM,YAMATO,,,,
Object Access,Audit Registry,4660,Information,Security,Microsoft-Windows-Security-Auditing,An object was deleted.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Registry,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4660,Low,Low,Low,No,No,No,Yes,SRV-ETM,YAMATO,,,,
Object Access,Audit Registry,4670,Information,Security,Microsoft-Windows-Security-Auditing,Permissions on an object were changed.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Registry,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4670,Low,Low,Low,No,No,No,Yes,SRV-ETM,MDE,YAMATO,,,
Object Access,Audit Registry,5039,Information,Security,Microsoft-Windows-Security-Auditing,A registry key was virtualized.,,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Registry,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5039,Low,Low,Low,No,No,No,Yes,SRV-ETM,,,,,
Object Access,Audit Registry,4663,Information,Security,Microsoft-Windows-Security-Auditing,An attempt was made to access an object.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Registry,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4663,Low,Low,Low,No,No,No,Yes,JSCU-NL,SRV-ETM,YAMATO,,,
DS Access,Audit Directory Service Access,4661,Information,Security,Microsoft-Windows-Security-Auditing,A handle to an object was requested.,Success,Failure,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\DS Access\Audit Directory Service Access,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4661,High,,,Failure,No,No,No,SRV-ETM,YAMATO,,,,
Other Events,Other Events,1100,Information,Security,Microsoft-Windows-Security-Auditing,The event logging service has shut down.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Other Events\Other Events,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-1100,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,,,,,
Other Events,Other Events,1102,Information,Security,Microsoft-Windows-Security-Auditing,The audit log was cleared.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Other Events\Other Events,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-1102,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,CORTEX,ANSSI,,
Other Events,Other Events,1104,Information,Security,Microsoft-Windows-Security-Auditing,The security log is now full.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Other Events\Other Events,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-1104,Low,Low,Low,Success,Success,Success,Yes,,,,,,
Other Events,Other Events,1105,Information,Security,Microsoft-Windows-Security-Auditing,Event log automatic backup,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Other Events\Other Events,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-1105,Low,Low,Low,Success,Success,Success,Yes,,,,,,
Other Events,Other Events,1108,Information,Security,Microsoft-Windows-Security-Auditing,The event logging service encountered an error while processing an incoming event published from %1.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Other Events\Other Events,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-1108,Low,Low,Low,Success,Success,Success,Yes,,,,,,
Policy Change,Audit Audit Policy Change,4715,Information,Security,Microsoft-Windows-Security-Auditing,The audit policy (SACL) on an object was changed.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Policy Change\Audit Audit Policy Change,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4715,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,YAMATO,,,
Policy Change,Audit Audit Policy Change,4719,Information,Security,Microsoft-Windows-Security-Auditing,System audit policy was changed.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Policy Change\Audit Audit Policy Change,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4719,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,MDE,YAMATO,,
Policy Change,Audit Audit Policy Change,4817,Information,Security,Microsoft-Windows-Security-Auditing,Auditing settings on object were changed.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Policy Change\Audit Audit Policy Change,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4817,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,YAMATO,,,,
Policy Change,Audit Audit Policy Change,4902,Information,Security,Microsoft-Windows-Security-Auditing,The Per-user audit policy table was created.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Policy Change\Audit Audit Policy Change,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4902,Low,Low,Low,Success,Success,Success,Yes,SRV-ETM,YAMATO,,,,
Policy Change,Audit Audit Policy Change,4904,Information,Security,Microsoft-Windows-Security-Auditing,An attempt was made to register a security event source.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Policy Change\Audit Audit Policy Change,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4904,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,YAMATO,,,
Policy Change,Audit Audit Policy Change,4905,Information,Security,Microsoft-Windows-Security-Auditing,An attempt was made to unregister a security event source.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Policy Change\Audit Audit Policy Change,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4905,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,YAMATO,,,
Policy Change,Audit Audit Policy Change,4906,Information,Security,Microsoft-Windows-Security-Auditing,The CrashOnAuditFail value has changed.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Policy Change\Audit Audit Policy Change,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4906,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,,,,
Policy Change,Audit Audit Policy Change,4907,Information,Security,Microsoft-Windows-Security-Auditing,Auditing settings on object were changed.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Policy Change\Audit Audit Policy Change,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4907,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,MDE,YAMATO,,
Policy Change,Audit Audit Policy Change,4908,Information,Security,Microsoft-Windows-Security-Auditing,Special Groups Logon table modified.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Policy Change\Audit Audit Policy Change,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4908,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,YAMATO,,,
Policy Change,Audit Audit Policy Change,4912,Information,Security,Microsoft-Windows-Security-Auditing,Per User Audit Policy was changed.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Policy Change\Audit Audit Policy Change,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4912,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,YAMATO,,,
Policy Change,Audit Authentication Policy Change,4706,Information,Security,Microsoft-Windows-Security-Auditing,A new trust was created to a domain.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Policy Change\Audit Authentication Policy Change,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4706,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,YAMATO,,,
Policy Change,Audit Authentication Policy Change,4707,Information,Security,Microsoft-Windows-Security-Auditing,A trust to a domain was removed.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Policy Change\Audit Authentication Policy Change,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4707,Low,Low,Low,Success,Success,Success,Yes,SRV-ETM,YAMATO,,,,
Policy Change,Audit Authentication Policy Change,4713,Information,Security,Microsoft-Windows-Security-Auditing,Kerberos policy was changed.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Policy Change\Audit Authentication Policy Change,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4713,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,CORTEX,YAMATO,,
Policy Change,Audit Authentication Policy Change,4716,Information,Security,Microsoft-Windows-Security-Auditing,Trusted domain information was modified.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Policy Change\Audit Authentication Policy Change,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4716,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,YAMATO,,,
Policy Change,Audit Authentication Policy Change,4717,Information,Security,Microsoft-Windows-Security-Auditing,System security access was granted to an account.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Policy Change\Audit Authentication Policy Change,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4717,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,YAMATO,,,
Policy Change,Audit Authentication Policy Change,4718,Information,Security,Microsoft-Windows-Security-Auditing,System security access was removed from an account.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Policy Change\Audit Authentication Policy Change,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4718,Low,Low,Low,Success,Success,Success,Yes,SRV-ETM,YAMATO,,,,
Policy Change,Audit Authentication Policy Change,4739,Information,Security,Microsoft-Windows-Security-Auditing,Domain Policy was changed.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Policy Change\Audit Authentication Policy Change,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4739,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,YAMATO,,,
Policy Change,Audit Authentication Policy Change,4864,Information,Security,Microsoft-Windows-Security-Auditing,A namespace collision was detected.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Policy Change\Audit Authentication Policy Change,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4864,Low,Low,Low,Success,Success,Success,No,SRV-ETM,YAMATO,,,,
Policy Change,Audit Authentication Policy Change,4865,Information,Security,Microsoft-Windows-Security-Auditing,A trusted forest information entry was added.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Policy Change\Audit Authentication Policy Change,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4865,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,YAMATO,,,
Policy Change,Audit Authentication Policy Change,4866,Information,Security,Microsoft-Windows-Security-Auditing,A trusted forest information entry was removed.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Policy Change\Audit Authentication Policy Change,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4866,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,YAMATO,,,
Policy Change,Audit Authentication Policy Change,4867,Information,Security,Microsoft-Windows-Security-Auditing,A trusted forest information entry was modified.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Policy Change\Audit Authentication Policy Change,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4867,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,YAMATO,,,
Policy Change,Audit Authorization Policy Change,4703,Information,Security,Microsoft-Windows-Security-Auditing,A user right was adjusted.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Policy Change\Audit Authorization Policy Change,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4703,,,,IF,IF,IF,Yes,SRV-ETM,YAMATO,,,,
Policy Change,Audit Authorization Policy Change,4704,Information,Security,Microsoft-Windows-Security-Auditing,A user right was assigned.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Policy Change\Audit Authorization Policy Change,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4704,,,,IF,IF,IF,Yes,SRV-ETM,YAMATO,,,,
Policy Change,Audit Authorization Policy Change,4705,Information,Security,Microsoft-Windows-Security-Auditing,A user right was removed.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Policy Change\Audit Authorization Policy Change,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4705,,,,IF,IF,IF,Yes,SRV-ETM,YAMATO,,,,
Policy Change,Audit Authorization Policy Change,4911,Information,Security,Microsoft-Windows-Security-Auditing,Resource attributes of the object were changed.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Policy Change\Audit Authorization Policy Change,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4911,,,,IF,IF,IF,Yes,YAMATO,,,,,
Policy Change,Audit Authorization Policy Change,4913,Information,Security,Microsoft-Windows-Security-Auditing,Central Access Policy on the object was changed.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Policy Change\Audit Authorization Policy Change,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4913,,,,IF,IF,IF,Yes,YAMATO,,,,,
Policy Change,Audit MPSSVC Rule-Level Policy Change,4944,Information,Security,Microsoft-Windows-Security-Auditing,The following policy was active when the Windows Firewall started.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Policy Change\Audit MPSSVC Rule-Level Policy Change,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4944,Medium,Medium,Medium,Success,Success,Success,Yes,SRV-ETM,YAMATO,,,,
Policy Change,Audit MPSSVC Rule-Level Policy Change,4945,Information,Security,Microsoft-Windows-Security-Auditing,A rule was listed when the Windows Firewall started.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Policy Change\Audit MPSSVC Rule-Level Policy Change,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4945,Medium,Medium,Medium,Success,Success,Success,Yes,SRV-ETM,YAMATO,,,,
Policy Change,Audit MPSSVC Rule-Level Policy Change,4946,Information,Security,Microsoft-Windows-Security-Auditing,A change has been made to Windows Firewall exception list. A rule was added.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Policy Change\Audit MPSSVC Rule-Level Policy Change,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4946,Medium,Medium,Medium,Success,Success,Success,Yes,SRV-ETM,YAMATO,,,,
Policy Change,Audit MPSSVC Rule-Level Policy Change,4947,Information,Security,Microsoft-Windows-Security-Auditing,A change has been made to Windows Firewall exception list. A rule was modified.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Policy Change\Audit MPSSVC Rule-Level Policy Change,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4947,Medium,Medium,Medium,Success,Success,Success,Yes,SRV-ETM,YAMATO,,,,
Policy Change,Audit MPSSVC Rule-Level Policy Change,4948,Information,Security,Microsoft-Windows-Security-Auditing,A change has been made to Windows Firewall exception list. A rule was deleted.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Policy Change\Audit MPSSVC Rule-Level Policy Change,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4948,Medium,Medium,Medium,Success,Success,Success,Yes,SRV-ETM,YAMATO,,,,
Policy Change,Audit MPSSVC Rule-Level Policy Change,4949,Information,Security,Microsoft-Windows-Security-Auditing,Windows Firewall settings were restored to the default values.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Policy Change\Audit MPSSVC Rule-Level Policy Change,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4949,Medium,Medium,Medium,Success,Success,Success,Yes,SRV-ETM,YAMATO,,,,
Policy Change,Audit MPSSVC Rule-Level Policy Change,4950,Information,Security,Microsoft-Windows-Security-Auditing,A Windows Firewall setting has changed.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Policy Change\Audit MPSSVC Rule-Level Policy Change,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4950,Medium,Medium,Medium,Success,Success,Success,Yes,SRV-ETM,YAMATO,,,,
